pdfname,publishable,conference,justification,publishability_score,processing_time
P124.pdf,0,NA,NA,0.564,0.10460114479064941
P125.pdf,1,EMNLP,EMNLP is the leading natural language processing conference that covers computational linguistics and empirical methods. The paper's focus on discourse connectives and commonsense reasoning is highly relevant to the conference scope.,0.7,2.1782844066619873
P126.pdf,1,NeurIPS,"The paper focuses on developing an innovative algorithm for estimating causal effects in linear Structural Causal Models (SCMs) using advanced machine learning techniques. NeurIPS is the top conference in the field of machine learning and AI, with a strong emphasis on theoretical advances and novel methodologies. The paper's topic aligns well with the conference's scope and will likely attract interest from the NeurIPS community.",0.732,2.7266652584075928
P127.pdf,0,NA,NA,0.494,0.06546163558959961
P128.pdf,0,NA,NA,0.66,0.08114361763000488
P129.pdf,0,NA,NA,0.418,0.07973432540893555
P130.pdf,0,NA,NA,0.606,0.11737918853759766
P131.pdf,1,CVPR,"The paper focuses on image disentanglement, which is a topic closely aligned with the scope of CVPR. CVPR is a premier conference in the field of computer vision, and the paper's findings on utilizing inductive biases in pretrained models for disentanglement would be of interest to the CVPR audience.",0.772,2.8673529624938965
P132.pdf,0,NA,NA,0.564,0.1043543815612793
P133.pdf,0,NA,NA,0.67,0.0780036449432373
P134.pdf,0,NA,NA,0.296,0.06479811668395996
P135.pdf,0,NA,NA,0.634,0.0651547908782959
